ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y
CENX,99.29,98.15,64.34,87.26,Utilities,1482513679,1.049204136
BNOX,12.31,66.44,38.6,39.12,Health Care,60148920,0.697188166
CREX,53.09,10.56,31.36,31.67,Communication Services,11722052.92,1.35610413
COLB,73.66,16.13,98.89,62.89,Financials,2279889560,0.986772001
CTLP,64.64,30.98,24.92,40.18,Information Technology,388834031,1.528420083
CRTO,82.73,98.83,44.58,75.38,Communication Services,1526559300,1.426161744
CHNR,1.22,72.67,1.47,25.12,Utilities,30989508.46,0.259408442
CAR,99.59,98.43,1.57,66.53,Industrials,13547477032,2.193856703
CAAS,29.18,70.74,8.21,36.04,Consumer,88853114.88,0.750022169
CHCI,60.28,54.03,1.32,38.54,Financials,37524285,0.384613574
CSGP,77.76,54.03,33.23,55.01,Industrials,25524833311,1.409674199
CLFD,61.7,8.59,63.73,44.67,Information Technology,780744526,2.378474833
CYTH,2.28,5.17,41.03,16.16,Health Care,21542901.76,0.781143369
CVLG,82.02,75.58,48.68,68.76,Industrials,345951897,1.05394952
CDLX,65.65,54.03,19.6,46.43,Communication Services,1223367845,2.442323497
CDZI,1.17,44.91,27.71,24.59,Utilities,104042016.1,1.228346006
CMBM,76.34,87.72,15.55,59.87,Information Technology,436447582.2,1.752118919
CMTL,63.78,68.54,50.46,60.93,Information Technology,351073269.9,1.099867371
BPTH,12.74,41.13,4.36,19.41,Health Care,21265687.08,1.039752093
BWEN,76.19,45.04,27.56,49.59,Industrials,36633188.88,1.693624003
CIVB,29.08,54.03,78.01,53.71,Financials,299195520.5,0.552487797
CERE,11.04,5.17,8.71,8.31,Health Care,4576211378,1.35810907
CYAN,14.18,30.98,62.16,35.77,Consumer,17715314.76,0.424458205
CATC,32.37,2.08,95.69,43.38,Financials,575901848.7,0.58382272
BSQR,60.49,68.54,11.25,46.76,Information Technology,27578573.55,1.059177374
CBSH,74.16,2.08,91.84,56.03,Financials,8391796127,0.811891977
CNXN,42.15,30.98,38.4,37.17,Information Technology,1308099040,0.935538391
CRTX,11.04,30.98,38.86,26.96,Health Care,116985239.8,1.761337884
CSWI,91.29,90.55,54.76,78.87,Industrials,1669957163,0.738483873
CPSS,65.3,0.46,79.84,48.53,Financials,255208824,1.325095423
COWN,79.64,83.84,53.95,72.48,Financials,678832538.7,1.428485976
CTMX,72.24,30.98,55.12,52.78,Health Care,119025006.1,0.698026431
CFMS,19.91,30.98,30.24,27.04,Health Care,97028859.66,0.795359531
CUTR,26.29,75.58,72.54,58.14,Health Care,1091274563,1.228985362
BNTX,88.2,83.84,17.58,63.2,Health Care,36043812280,1.314831861
CCNE,33.43,21.99,87.89,47.77,Financials,426155209.2,0.630020099
CABA,11.04,30.98,6.43,16.15,Health Care,54139599.36,1.557461373
CLNE,80.75,75.58,18.24,58.19,Utilities,1293963692,1.434289469
CARA,15.3,30.98,57.7,34.66,Health Care,466243657.5,0.957365078
CHRS,33.08,66.44,11.4,36.97,Health Care,748550315,1.206632493
